Target UniProt ID,Ligand ID,Label
Q969F8,drug31819,0
Q9Y2T6,drug24671,1
P28223,drug43672,1
O43613,drug27007,1
Q13255,drug7559,0
Q9Y2T5,drug1880,1
P97639,drug42691,0
Q9H228,drug50091,1
Q9BXC1,drug65592,0
P16177,drug19392,0
P25099,drug34886,1
P32247,drug4350,1
Q92847,drug8952,1
P97926,drug21569,0
Q8TDU6,drug47857,0
O43613,drug2719,1
P25102,drug60907,0
P97288,drug51841,0
P11229,drug61273,1
P35346,drug33290,1
O15303,drug37105,0
Q9NQS5,drug47497,1
O43613,drug49800,1
Q92633,drug17412,0
O35659,drug18182,0
P47871,drug68682,1
Q9NS75,drug8356,1
P35462,drug29240,0
Q9H255,drug51507,0
Q9H228,drug6701,1
P21730,drug58091,1
Q9QYN8,drug23081,0
P42866,drug12422,0
P34972,drug27587,1
Q5T6X5,drug35484,0
P34975,drug3743,0
P35370,drug3489,0
O14842,drug61296,1
Q92633,drug63358,0
P61168,drug29006,0
Q00788,drug60605,0
P29274,drug12789,1
P48145,drug20793,1
P43119,drug14602,1
Q13258,drug68153,1
Q9HBX9,drug9695,1
Q9HBX9,drug2063,1
P41145,drug53589,1
Q9Y5Y4,drug35071,1
P43116,drug28585,0
O14842,drug61465,1
P25100,drug44965,1
P32215,drug56495,0
P32305,drug59247,0
P14416,drug8336,1
Q9Y5Y4,drug43526,1
O35811,drug11654,0
P35462,drug62791,1
P21453,drug44703,1
P21730,drug68126,1
P21452,drug47021,0
Q4KLH9,drug48555,0
P52592,drug8999,0
P08912,drug53391,1
P35368,drug31873,1
P41594,drug15605,1
P28646,drug28365,0
P49682,drug10077,1
P35372,drug38465,1
P08588,drug59227,0
P25929,drug58865,0
P51582,drug35262,0
Q9Y2T6,drug8470,1
P41594,drug25398,0
Q01718,drug5756,0
P11229,drug19563,1
P49146,drug26697,1
Q63447,drug5407,0
P55085,drug1218,0
P32305,drug6838,0
P33533,drug31311,0
P35346,drug65520,1
Q13258,drug67411,0
Q5QD14,drug30264,0
P35349,drug47924,1
Q56UD9,drug13972,0
P32245,drug25437,1
P21453,drug2160,1
P32246,drug71144,1
P21730,drug56774,1
Q92847,drug53697,1
P20272,drug55982,0
Q14833,drug39585,1
P43140,drug45670,0
P51681,drug67438,1
Q3UVX5,drug14130,0
P21453,drug30393,1
Q15077,drug55497,1
P07550,drug7922,1
Q96LB1,drug71922,0
P49146,drug10149,1
P41594,drug20399,1
P51686,drug12836,0
P34975,drug34079,0
Q9H1C0,drug17822,0
Q969F8,drug67307,1
P21462,drug7518,0
P30556,drug69780,0
P30937,drug21959,0
Q8TDU6,drug28183,0
P21453,drug40309,1
O43613,drug90,1
P0DMS8,drug42070,1
P43220,drug30973,1
P59543,drug12274,0
P30518,drug16188,1
Q5NUL3,drug28606,1
Q9GZQ4,drug35269,0
P31387,drug12388,0
Q9JL21,drug49300,0
Q14833,drug11096,1
Q92847,drug29247,1
P49682,drug67579,1
Q01726,drug1373,1
Q00788,drug31667,0
P49685,drug54467,0
P32244,drug69964,0
P21554,drug3723,0
Q02284,drug24151,0
Q15761,drug18048,0
P43114,drug69007,0
P51685,drug21195,0
P08908,drug68323,1
P30874,drug41083,0
P14416,drug64740,1
P28647,drug61378,0
P32238,drug57962,0
P16177,drug55493,0
P08909,drug62569,0
Q8BMC0,drug71943,0
P34972,drug26534,1
Q9BY21,drug27711,0
P11229,drug69011,1
Q8TDV5,drug18556,1
Q9HBX9,drug18437,1
P30554,drug62515,0
Q9H1C0,drug41626,1
Q9ERZ4,drug71908,0
Q99705,drug55611,1
Q15761,drug28666,0
Q9Y2T6,drug1637,1
P51685,drug71499,0
P29275,drug11088,1
P49190,drug47211,0
P41597,drug30827,1
P30543,drug69726,0
O15552,drug37718,0
Q9H244,drug8023,1
P47901,drug41316,1
P41145,drug5310,1
P08912,drug8606,0
P46095,drug1170,1
O43613,drug59296,1
P41145,drug57435,1
Q9HBX9,drug27294,1
P25024,drug47398,0
Q92847,drug57236,1
Q9H244,drug50846,1
Q03431,drug48607,0
P32245,drug26766,0
Q9ERZ4,drug29201,0
Q13258,drug13532,1
P14416,drug11503,1
Q99705,drug59811,0
Q13255,drug33048,1
P10608,drug58298,0
P33533,drug27635,0
Q14833,drug44076,1
P11229,drug15406,1
Q969F8,drug4860,1
Q6IYF9,drug1861,0
Q9H244,drug30642,0
Q8BLG2,drug2169,0
P49682,drug6880,1
P28335,drug24487,1
P30872,drug7682,0
P32239,drug62304,0
P35408,drug61613,0
P28335,drug41538,1
P32247,drug54935,0
P30543,drug29918,0
Q969F8,drug961,1
Q60613,drug6505,0
Q9HBX9,drug38184,1
P30543,drug2805,0
P23944,drug62541,0
Q9EQ31,drug53817,0
P32302,drug29118,1
P25100,drug47977,1
P29274,drug12082,1
Q9Z0U9,drug51545,0
Q9JKM5,drug29398,0
Q96RJ0,drug31813,1
Q9NYV7,drug50141,0
P25929,drug45298,1
Q8TDS4,drug31868,1
P32245,drug58231,1
P30542,drug47404,1
P20789,drug22634,0
Q15077,drug20721,0
P61073,drug50729,0
P47752,drug54413,0
P41968,drug39247,1
P41594,drug12029,1
P34972,drug10531,1
P08909,drug17920,0
Q9Y2T6,drug33139,1
P08588,drug71811,1
P13945,drug7031,0
O43613,drug46138,0
P21453,drug36797,1
Q15391,drug26975,0
P08908,drug68537,1
P29274,drug53074,1
Q02284,drug23239,0
Q5QD15,drug4651,0
P51582,drug46624,1
Q9BXC0,drug1628,1
P25021,drug64058,0
P37288,drug70106,0
Q9R261,drug11793,0
P08483,drug10310,0
P41143,drug60920,1
P12526,drug59686,0
Q8TDS4,drug33253,1
P30968,drug40985,0
P30940,drug13979,0
P41587,drug22402,1
P34972,drug11931,1
P13945,drug50283,1
P97639,drug49989,0
P41145,drug36336,1
Q62928,drug43022,0
P61168,drug58076,0
P47871,drug46841,0
P32305,drug25038,0
P30560,drug64720,0
P56481,drug34948,0
P08908,drug57555,1
Q9R1K6,drug14186,0
Q8BMC0,drug51847,0
Q9BXC1,drug24032,0
P41145,drug53147,1
P35367,drug15468,0
P55085,drug13121,1
P35346,drug37187,0
P41594,drug69858,1
Q9UNW8,drug36921,0
P07550,drug29924,1
Q62053,drug47062,0
P25024,drug34347,1
Q9Y5N1,drug42217,1
P34972,drug5436,1
Q96P65,drug45239,0
P29274,drug47536,1
O88536,drug37371,1
P25116,drug22824,0
Q8TDV5,drug49303,1
Q7Z601,drug27550,0
Q99705,drug49598,1
P21451,drug35745,0
P34972,drug17343,1
Q33BM1,drug30105,1
P59541,drug66604,0
P35368,drug40157,1
P35372,drug23574,1
P30874,drug70010,0
P18089,drug2766,1
P13945,drug47303,1
P32245,drug59795,1
Q99500,drug58892,1
Q9NQS5,drug52147,1
P49682,drug609,1
Q9Y5N1,drug38716,1
P49146,drug22904,1
Q8TDS4,drug6127,1
Q01776,drug53262,0
Q9HBX9,drug61254,1
Q9HBX9,drug38529,1
Q7Z601,drug28121,1
Q5T6X5,drug9142,0
P35000,drug301,0
O00574,drug6623,0
P31424,drug18178,1
Q9HBX9,drug24876,1
P28223,drug48744,1
P41143,drug15495,1
P30729,drug19030,1
P23944,drug55280,0
O43193,drug49961,1
P41968,drug39015,1
O43193,drug34205,1
P34978,drug20923,0
P41594,drug71710,1
P41594,drug13991,1
P13945,drug42087,1
P16473,drug28478,0
P34972,drug47537,1
P34981,drug21849,0
P41180,drug19720,1
Q14330,drug24901,0
Q9HBX9,drug24416,1
P08482,drug14570,0
P30872,drug55904,0
Q9HB89,drug25198,0
Q8TDV5,drug14832,1
P11229,drug46307,0
P32244,drug23059,0
Q86Y34,drug57208,0
P34972,drug31055,1
O15552,drug49616,1
P08588,drug53426,0
P61073,drug61819,1
P30550,drug12418,0
Q6R6I6,drug2466,0
Q8TDU6,drug1974,1
Q9UBS5,drug53952,0
P07550,drug48608,1
P41597,drug26082,1
P43088,drug12134,0
P59543,drug53305,0
Q923Y7,drug57676,0
P41145,drug31075,1
Q9Z2J6,drug10179,0
Q9HBX9,drug66011,1
Q9GZN0,drug66614,1
P08908,drug37579,1
O88536,drug13611,0
Q63447,drug32600,0
P30553,drug11570,0
P51681,drug33906,1
Q9HBW0,drug56155,0
Q9Y2T5,drug45230,1
P49146,drug30207,0
Q9NYW0,drug67663,0
P49019,drug10212,0
P41594,drug42930,1
P08173,drug17432,1
Q9UBS5,drug56992,0
P08588,drug35074,1
P48145,drug64294,1
P41143,drug68435,1
Q9UBY5,drug70081,1
P35370,drug37989,0
P41594,drug46542,1
P59533,drug52264,0
O43193,drug47331,1
P21728,drug40987,1
P51686,drug22125,1
Q9ERZ4,drug7668,0
P21453,drug14535,1
P08588,drug55273,1
Q8TDS4,drug56668,1
Q9UBY5,drug36381,0
Q60612,drug71736,0
Q16602,drug66872,1
P59541,drug71328,0
Q92847,drug72019,1
P50052,drug71741,0
P51681,drug7062,1
P41143,drug34753,0
Q923Y7,drug64628,0
P32239,drug32437,1
Q15077,drug40951,0
P20272,drug42208,0
Q01726,drug46710,1
P34972,drug31943,1
P51685,drug48819,1
P25024,drug42189,0
Q9NSD7,drug11969,1
P30936,drug53459,0
Q86Y34,drug55383,0
P21453,drug65854,1
Q8BZP8,drug29727,0
Q9Y5N1,drug18751,1
O14842,drug6193,1
Q03431,drug57111,1
P35349,drug45806,0
P35372,drug63109,0
P35408,drug35122,1
Q60614,drug3596,0
P30518,drug38997,1
P48145,drug66997,1
Q9HBX9,drug49511,1
P28335,drug28072,1
Q61616,drug46933,0
Q60613,drug29384,0
P07550,drug55869,1
Q96P65,drug1701,0
Q96RI0,drug47840,0
P48145,drug32172,1
P43219,drug26175,0
P59534,drug53187,0
P25105,drug65261,0
P47752,drug69181,0
Q8TDV5,drug21892,1
P33535,drug44143,0
Q9HBX9,drug71964,1
Q9Y2T5,drug10317,1
Q9HBX9,drug13024,1
P14842,drug53325,0
Q969V1,drug53622,0
P46095,drug62848,1
P21554,drug15313,1
Q14833,drug5004,1
Q9UPC5,drug36911,0
P35372,drug8883,1
Q9JJL9,drug50121,0
P41594,drug32311,0
P11229,drug69419,1
Q6IYF8,drug66631,0
Q92633,drug58392,0
P08911,drug69742,0
Q969F8,drug4547,0
P32238,drug13464,0
Q9Y271,drug52824,1
P59543,drug62056,0
P41145,drug18677,1
Q9BXA5,drug40010,1
O43614,drug68140,1
Q9NYW3,drug68233,0
Q76EI6,drug10645,0
P47872,drug22566,0
P30968,drug5479,1
P49190,drug47054,0
P41145,drug38718,1
P34972,drug49204,0
Q9ULV1,drug29063,0
O35881,drug24290,0
O43613,drug64903,1
Q9Y2T6,drug956,1
P35370,drug18102,0
O95977,drug61363,0
P30989,drug35104,0
P41968,drug67545,1
P25962,drug28393,0
P10980,drug50209,1
P37288,drug35317,1
P46095,drug1915,1
P46095,drug30657,1
Q9BXC1,drug45514,0
Q99P50,drug61172,0
Q15077,drug11908,1
P70536,drug5387,0
P33535,drug66583,0
O75084,drug55617,0
Q9HBX9,drug45525,1
Q5QD16,drug47103,0
P41968,drug67560,1
Q8TDU6,drug10749,1
Q92847,drug17775,0
O43614,drug47022,1
O43613,drug58942,1
P28222,drug17542,1
P37288,drug178,0
P41145,drug44242,0
P48145,drug15164,1
P32246,drug10173,0
P49146,drug43995,1
Q9GZQ4,drug48529,1
Q01726,drug18735,0
P20789,drug2449,0
Q7RTR8,drug25871,0
P49682,drug31413,1
P32238,drug29164,0
Q9Y5N1,drug26587,0
P46095,drug13088,0
P41595,drug59235,1
O00222,drug17034,0
Q9H244,drug17876,1
P30940,drug8794,0
Q86Y34,drug35703,0
P30542,drug62560,1
P35364,drug55214,0
Q9ERC0,drug31087,0
P07550,drug60077,1
P59551,drug53571,0
P34972,drug65385,1
P08588,drug29698,1
O15552,drug44419,1
O43613,drug37273,1
P41594,drug46279,1
P32239,drug39967,1
P59534,drug10476,0
P13945,drug56354,1
P34972,drug11305,1
Q15761,drug44540,1
P30987,drug35571,0
P25961,drug48584,0
P08172,drug64588,0
O15303,drug13920,0
Q969V1,drug82,0
Q9H3N8,drug32823,1
Q92847,drug38368,1
Q9HBX9,drug32959,1
Q9UKP6,drug46272,1
P25962,drug9352,0
P46095,drug43793,1
P08908,drug46598,1
P08173,drug14600,1
O60755,drug58731,1
P08172,drug18360,1
Q9NYW3,drug28156,0
Q13255,drug11000,1
Q9Y2T6,drug42140,0
P35377,drug24013,0
P11229,drug49166,1
Q9Y2T6,drug29892,1
P30560,drug57234,0
P33032,drug56930,1
P30518,drug36696,1
Q96LB1,drug45743,0
P48303,drug68642,0
Q96P68,drug1120,0
P41595,drug48347,1
P33535,drug66488,0
P29275,drug71785,1
P34969,drug45344,0
P30989,drug18907,0
O08565,drug71365,0
O95977,drug60369,0
Q9HBX9,drug62488,1
P07550,drug27797,1
Q62053,drug25342,0
O35659,drug65365,0
Q33BM1,drug48482,0
P37288,drug23230,0
Q9NQS5,drug26146,1
Q9HBX9,drug51642,1
P47871,drug19016,1
P22888,drug19219,0
P25106,drug47917,0
P08173,drug49395,1
P18089,drug25017,1
Q8TDS7,drug63486,0
P35372,drug22081,1
P49019,drug56404,0
P50052,drug30003,1
P25116,drug52950,0
Q9H3N8,drug20466,1
P25090,drug55591,1
P10608,drug2390,0
P51582,drug42400,1
Q92847,drug45074,1
Q15761,drug39992,0
P21729,drug14870,0
Q7TQN8,drug44491,0
P21453,drug37478,1
P41968,drug66582,0
Q99500,drug29667,1
P41146,drug53310,1
P29275,drug65351,1
P0DMS8,drug4302,1
P46663,drug52619,1
P08172,drug18260,1
P58307,drug24146,0
P08908,drug6017,1
O75899,drug68286,0
P13945,drug43656,1
O43613,drug28062,1
P25025,drug22136,0
P28335,drug66456,1
P0DMS8,drug37406,1
P23944,drug34893,0
P32239,drug20749,1
P61073,drug55807,1
P07550,drug47463,1
Q9Z2J6,drug24699,0
Q9Y5N1,drug41405,1
O43613,drug1101,1
O43613,drug54679,1
P29275,drug34336,1
P43115,drug7861,1
Q96RJ0,drug2494,1
P34972,drug49146,1
O43194,drug32573,0
P41594,drug52793,1
P25116,drug64593,1
P28335,drug22205,1
O43613,drug57000,1
Q91X56,drug72504,0
O14842,drug13160,1
P35000,drug24017,0
Q04573,drug6702,0
F8VQN3,drug28791,0
O35881,drug35575,0
Q9HBX9,drug62397,1
Q8BLG2,drug18344,0
P0DMS8,drug61804,1
Q9NQS5,drug47473,0
P35375,drug44274,0
P41594,drug60053,1
P19020,drug53648,0
P59535,drug3290,0
Q8TDS4,drug16165,1
P47871,drug69567,1
P21453,drug21067,1
P30731,drug12431,0
P25090,drug57234,0
Q9Y2T5,drug6614,1
P32745,drug1242,0
P28222,drug58662,1
P41146,drug33133,1
P30542,drug31692,1
P30968,drug55557,1
Q02284,drug72417,0
Q92847,drug37394,1
P25090,drug33706,1
Q9GZQ6,drug60658,0
P30542,drug37053,0
Q92847,drug52594,1
Q9Y5Y4,drug18906,1
Q9HBX9,drug46790,1
Q923Y8,drug53692,0
P08483,drug28813,0
Q9Y271,drug53996,0
P21918,drug48073,0
P08908,drug58052,1
P35364,drug27768,0
P08173,drug35450,0
O08565,drug41170,0
P07550,drug28051,0
Q969F8,drug54290,0
O14842,drug54429,0
P43115,drug33714,1
Q5T6X5,drug40690,0
P34969,drug51056,1
P48974,drug55716,0
Q8TDV5,drug5669,1
P51684,drug59187,0
P14416,drug54144,1
P34972,drug10837,1
P56479,drug61736,0
P35462,drug18162,1
P08483,drug12787,0
P41145,drug18136,1
P15823,drug21841,0
P46095,drug857,1
P32240,drug10935,0
P20272,drug24492,0
P30994,drug54176,1
Q8TDV5,drug31493,1
Q96P65,drug37554,1
P32249,drug16020,1
P34972,drug71414,1
Q9Y5N1,drug59457,1
P51684,drug66865,1
Q9BXC1,drug40125,0
P25090,drug5621,1
P32249,drug47000,1
P51677,drug58813,1
P49685,drug68670,0
P30556,drug9189,1
Q60612,drug20400,0
P32238,drug59674,1
Q14831,drug53889,0
Q01726,drug61749,1
Q99705,drug23559,1
Q15391,drug62214,0
Q92847,drug39942,1
P47211,drug50851,0
P13945,drug54269,1
O88855,drug38179,0
Q9NYW4,drug27973,0
P41968,drug10019,0
P43119,drug3133,1
P47901,drug25759,1
Q01726,drug5765,1
P41143,drug53119,1
P11229,drug72107,1
P97583,drug36791,0
Q99835,drug44114,0
P21728,drug64674,0
P33032,drug63633,1
P37288,drug59971,0
P49651,drug60360,0
P30988,drug62956,0
Q01726,drug30477,1
P21462,drug66199,1
Q9Y5N1,drug43102,1
P41180,drug10667,1
P46095,drug64765,1
P25962,drug9835,0
Q5NUL3,drug69368,1
Q01717,drug46143,0
P21462,drug67010,1
Q9Y2T6,drug1477,1
P47937,drug68214,0
P43116,drug43300,1
P61073,drug41585,0
O35881,drug49164,0
Q9Z0U4,drug4677,0
